order_id,order_date,customer_id,product,category,price,quantity
1,2024-07-11,1299,Backpack,Accessories,60,1
2,2024-01-10,4742,T-Shirt,Fashion,40,3
3,2024-05-26,3908,Sunglasses,Accessories,90,4
4,2024-12-28,1008,Backpack,Accessories,60,2
5,2024-07-15,1700,Watch,Accessories,150,3
6,2024-09-06,2527,T-Shirt,Fashion,40,4
7,2024-02-19,3617,Laptop,Electronics,800,4
8,2024-05-30,4350,Phone,Electronics,500,2
9,2024-10-22,2831,Sunglasses,Accessories,90,1
10,2024-04-12,4007,Shoes,Fashion,120,2
11,2024-01-26,4154,Headphones,Electronics,80,4
12,2024-08-04,1745,Tablet,Electronics,300,4
13,2024-01-13,1313,Camera,Electronics,700,1
14,2024-06-13,4059,Camera,Electronics,700,4
15,2024-09-20,1366,Laptop,Electronics,800,3
16,2024-06-04,1372,Shoes,Fashion,120,4
17,2024-02-13,3163,Phone,Electronics,500,1
18,2024-11-01,1280,Headphones,Electronics,80,2
19,2024-05-19,4588,T-Shirt,Fashion,40,3
20,2024-10-23,2865,Camera,Electronics,700,3
21,2024-05-31,1321,T-Shirt,Fashion,40,3
22,2024-04-01,3518,Headphones,Electronics,80,1
23,2024-06-25,1251,Sunglasses,Accessories,90,2
24,2024-12-17,1080,Backpack,Accessories,60,1
25,2024-02-20,4326,Sunglasses,Accessories,90,2
26,2024-08-29,3885,Backpack,Accessories,60,4
27,2024-03-20,2436,Laptop,Electronics,800,1
28,2024-12-14,2784,T-Shirt,Fashion,40,1
29,2024-01-02,4582,Laptop,Electronics,800,4
30,2024-12-03,4183,Headphones,Electronics,80,2
31,2024-06-15,4623,Headphones,Electronics,80,3
32,2024-07-22,2953,Tablet,Electronics,300,3
33,2024-12-07,4676,Shoes,Fashion,120,1
34,2024-10-01,1089,Phone,Electronics,500,3
35,2024-02-18,1552,Shoes,Fashion,120,1
36,2024-04-08,4427,Camera,Electronics,700,2
37,2024-03-13,1104,Tablet,Electronics,300,4
38,2024-12-21,1461,Tablet,Electronics,300,3
39,2024-10-30,2694,Laptop,Electronics,800,4
40,2024-07-07,1881,Backpack,Accessories,60,3
41,2024-04-16,2126,T-Shirt,Fashion,40,1
42,2024-12-29,1278,Watch,Accessories,150,1
43,2024-07-08,3187,Sunglasses,Accessories,90,4
44,2024-04-05,1895,Phone,Electronics,500,4
45,2024-11-28,3814,Shoes,Fashion,120,1
46,2024-12-04,4422,Phone,Electronics,500,2
47,2024-06-13,1417,Shoes,Fashion,120,3
48,2024-01-21,4513,T-Shirt,Fashion,40,1
49,2024-12-01,1939,Watch,Accessories,150,2
50,2024-01-25,2443,Shoes,Fashion,120,3
51,2024-02-28,2280,Backpack,Accessories,60,2
52,2024-08-04,2878,Headphones,Electronics,80,1
53,2024-10-06,2530,Watch,Accessories,150,4
54,2024-02-19,4967,Laptop,Electronics,800,3
55,2024-08-29,1736,Backpack,Accessories,60,4
56,2024-12-02,3448,Phone,Electronics,500,4
57,2024-01-06,4760,Sunglasses,Accessories,90,4
58,2024-08-19,2578,Watch,Accessories,150,4
59,2024-02-10,3502,Watch,Accessories,150,2
60,2024-08-21,1523,T-Shirt,Fashion,40,2
61,2024-05-16,1306,Headphones,Electronics,80,3
62,2024-11-29,2451,Laptop,Electronics,800,4
63,2024-12-19,2224,Laptop,Electronics,800,4
64,2024-02-01,2623,Watch,Accessories,150,4
65,2024-07-26,1716,Watch,Accessories,150,2
66,2024-01-24,1411,Backpack,Accessories,60,1
67,2024-03-12,4483,Tablet,Electronics,300,2
68,2024-01-24,2071,Phone,Electronics,500,1
69,2024-08-05,3559,Tablet,Electronics,300,2
70,2024-11-19,2611,Headphones,Electronics,80,4
71,2024-08-28,2710,Headphones,Electronics,80,2
72,2024-05-03,4512,Sunglasses,Accessories,90,4
73,2024-02-29,4478,Tablet,Electronics,300,3
74,2024-07-08,4538,Laptop,Electronics,800,3
75,2024-04-04,1350,Tablet,Electronics,300,4
76,2024-07-06,1914,Watch,Accessories,150,3
77,2024-05-01,2894,Shoes,Fashion,120,4
78,2024-01-02,3569,Phone,Electronics,500,1
79,2024-04-26,2794,Phone,Electronics,500,3
80,2024-02-29,1185,Phone,Electronics,500,2
81,2024-08-10,1802,T-Shirt,Fashion,40,2
82,2024-07-16,4754,Watch,Accessories,150,3
83,2024-06-01,2586,Laptop,Electronics,800,4
84,2024-08-30,1000,Shoes,Fashion,120,4
85,2024-10-20,2128,Watch,Accessories,150,2
86,2024-10-27,3348,Sunglasses,Accessories,90,3
87,2024-04-29,4712,Camera,Electronics,700,1
88,2024-07-26,1313,Headphones,Electronics,80,1
89,2024-06-26,3094,Tablet,Electronics,300,2
90,2024-04-25,4503,Shoes,Fashion,120,1
91,2024-06-11,1001,Phone,Electronics,500,3
92,2024-02-20,4799,Camera,Electronics,700,2
93,2024-03-04,2177,Shoes,Fashion,120,2
94,2024-02-02,4560,Camera,Electronics,700,2
95,2024-08-09,2592,Shoes,Fashion,120,4
96,2024-01-22,2533,Phone,Electronics,500,2
97,2024-10-18,1504,Watch,Accessories,150,4
98,2024-05-20,4975,Laptop,Electronics,800,1
99,2024-11-17,4146,Phone,Electronics,500,4
100,2024-11-26,2973,Laptop,Electronics,800,3
101,2024-02-23,4603,Shoes,Fashion,120,4
102,2024-06-19,2255,Watch,Accessories,150,4
103,2024-07-20,4039,Phone,Electronics,500,4
104,2024-02-18,4239,Laptop,Electronics,800,1
105,2024-11-07,2429,Camera,Electronics,700,1
106,2024-11-29,3131,Headphones,Electronics,80,4
107,2024-08-08,1197,Tablet,Electronics,300,2
108,2024-05-22,4373,T-Shirt,Fashion,40,4
109,2024-07-12,4002,Camera,Electronics,700,2
110,2024-10-29,3876,Shoes,Fashion,120,3
111,2024-02-10,3489,Shoes,Fashion,120,4
112,2024-08-05,2866,Watch,Accessories,150,4
113,2024-12-22,2524,Tablet,Electronics,300,2
114,2024-06-01,4535,Sunglasses,Accessories,90,3
